id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.14 I:1							
160526	l	l 	l(I)	l (I)	prep.	to	Superscription: l krt 'Concerning Kirta'.
160527	krt	krt	krt/	krt	PN sg. abs. gen.	Kirta	
# KTU 1.14 I:2							
160528	xxxx	[xxxx]    	?	?	?	?	No recoverable signs; EUPT and UDB are likewise lacunose.
160529	mlk	mlk[          ]          	mlk(I)/	mlk (I)	n. m. sg. abs. nom.	king	
# KTU 1.14 I:3							
160530	xxxxxm	[xxxxx]m    	?	?	?	?	Only final m is preserved; no source licenses a lexical restoration.
160531	k	k[         ]         	?	?	?	?	Isolated k in a broken line; prepositional or functor identity cannot be established.
# KTU 1.14 I:4							
160532	xxxxxxˤ	[xxxxx]xʿ[              ]              	?	?	?	?	Only final ˤ is recoverable; no defensible lexical analysis.
# KTU 1.14 I:5							
160533	xxxxm	[xxxx]m    	?	?	?	?	Only final m is preserved; no source licenses a lexical restoration.
160534	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. nom.	ʾIlu/Ilu/El	Primary name reading; EUPT allows Gottesname or common noun in this broken context.
160534	il	il  	il(I)/	ỉl (I)	n. m. sg. abs. nom.	god	Alt. EUPT: Subst. m. sg.; context is too broken to select the divine-name sense alone.
160535	xxxxx	xx[xxx]	?	?	?	?	No recoverable lexical identity in EUPT, UDB, or DULAT.
# KTU 1.14 I:6							
160536	xxxd	[xxx]d    	?	?	?	?	Only final d is preserved; no source licenses a lexical restoration.
160537	nhr	nhr  	nhr/	nhr	n. m. sg. cstr. nom.	river	
160537	nhr	nhr  	nhr/	nhr	DN m. sg. cstr. nom.	Naharu	Alt.: DN (alternative name of ym).
160538	umt	umt	um(t/t	umt	n. f. sg. cstr. nom.	family, clan	Subject of ˤrwt: umt krt 'the family of Kirta was consumed' (DULAT; EUPT Nom. f. sg. St.cs.).
# KTU 1.14 I:7							
160539	krt	[krt  ]  	krt/	krt	PN sg. abs. gen.	Kirta	
160540	ˤrwt	ʿrwt  	ˤrw[t===:pass	/ʕ-r-w/	vb Gpass suffc. 3 f. sg.	to be consumed	umt krt ˤrwt 'the family of Kirta was consumed' (DULAT; auto: Gpass).
160540	ˤrwt	ʿrwt  	ˤrw[t===	/ʕ-r-w/	vb G suffc. 3 f. sg.	to be consumed	EUPT: G-SK 3 f. sg. (ˁaruwat).
160541	bt	bt	bt(II)/	bt (II)	n. m. sg. cstr. nom.	immediate social circle	bt mlk 'the house of the king' (DULAT bt (II)).
# KTU 1.14 I:8							
160542	mlk	[m]lk    	mlk(I)/	mlk (I)	n. m. sg. abs. gen.	king	
160543	itdb	itdb   	(ʔ&i]t]db[	/ʔ-b-d/	vb Gt suffc. 3 m. sg.	to perish	Scribal metathesis for ỉtbd (DULAT: bt mlk ỉtbd 'the king's house perished').
160544	d	d 	d	d	det. or rel. functor	which	d šbˤ aḫm lh 'who had seven brothers'.
160545	šbˤ	šbʿ	šbˤ(I)/	šbʕ (I)	num.	seven	
# KTU 1.14 I:9							
160546	aḫm	[a]ḫm    	aḫ(I)/m	ảḫ (I)	n. m. pl. abs. nom.	brother	
160547	lh	lh  	l(I)+h	l (I)	prep. + 3 m. sg. suff.	to	'he had (lit. to him were) seven brothers'.
160548	ṯmnt	ṯmnt  	ṯmn(y(I)/t	ṯmn(y) (I)	num. f.	eight	ṯmnt bn um 'eight sons of one mother'.
160549	bn	bn 	bn(I)/	bn (I)	n. m. pl. cstr. nom.	son	
160550	um	um	um/	ủm	n. f. sg. cstr. gen.	mother	bn um 'sons of one mother'.
# KTU 1.14 I:10							
160551	krt	krt  	krt/	krt	PN sg. abs. nom.	Kirta	
160552	ḥtkn	ḥtkn  	ḥtk(II)/~n	ḥtk (II)	n. m. sg. cstr. gen. + encl. -n	lineage	krt ḥtkn rš 'his lineage was ruined' (DULAT ḥtk II).
160552	ḥtkn	ḥtkn  	ḥtk(III)/~n	ḥtk (III)	n. m. sg. cstr. acc. + encl. -n	sovereignty, power	EUPT: ḥtkn 'in (his) supremacy' (ḥtk III, acc.).
160553	rš	rš	rš[	/r-š(-š)/	vb G suffc. 3 m. sg.	to be ruined	
# KTU 1.14 I:11							
160554	krt	krt  	krt/	krt	PN sg. abs. nom.	Kirta	
160555	grdš	grdš  	grdš[	/g-r-d-š/	vb G suffc. 3 m. sg.	to be undermined, ruined	
160556	mknt	mknt	mkn(t/t	mknt	n. f. sg. cstr. nom.	family seat	krt grdš mknt 'ruined of his family seat'.
# KTU 1.14 I:12							
160557	aṯt	aṯt  	aṯ(t/t	ảṯt	n. f. sg. cstr. acc.	woman	aṯt ṣdqh 'the wife of his legitimacy' (EUPT: St.cs.).
160558	ṣdqh	ṣdqh  	ṣdq(I)/+h	ṣdq (I)	adj. m. sg. cstr. gen. + 3 m. sg. suff.	legitimacy	aṯt ṣdqh 'the wife of his legitimacy' = his lawful wife; substantivized adjective in current DULAT (EUPT: Gen. m. sg. St.cs.).
160559	l	l 	l(II)	l (II)	adv.	not	aṯt ṣdqh l ypq 'a lawful wife he did not obtain' (DULAT).
160560	ypq	ypq	!y!(ypq[	/y-p-q/	vb G prefc. 3 m. sg.	to get, obtain	aṯt ṣdqh l ypq 'a lawful wife he did not obtain' (EUPT G-PKK; wg prefc.).
160560	ypq	ypq	ypq[	/y-p-q/	vb G suffc. 3 m. sg.	to get, obtain	Alt.: suffc.
# KTU 1.14 I:13							
160561	mtrḫt	mtrḫt  	mtrḫ(t/t	mtrḫt	n. f. sg. cstr. acc.	consort, wife	Construct in mtrḫt yšrh 'his lawful consort' (DULAT; EUPT Akk. f. sg. St.cs.).
160562	yšrh	yšrh	yšr(I)/+h	yšr (I)	n. m. sg. cstr. gen. + 3 m. sg. suff.	uprightness, lawfulness	mtrḫt yšrh 'his rightful consort'.
# KTU 1.14 I:14							
160563	aṯt	aṯt  	aṯ(t/t	ảṯt	n. f. sg. abs. acc.	woman	aṯt trḫ 'he married a woman'.
160564	trḫ	trḫ  	trḫ[	/t-r-ḫ/	vb G suffc. 3 m. sg.	to marry	
160564	trḫ	trḫ  	trḫ[	/t-r-ḫ/	vb G impv. m. sg.	to marry	Alt.: impv.
160565	w	w 	w	w	conj.	and	
160566	tbˤt	tbʿt	tbˤ[t===	/t-b-ʕ/	vb G suffc. 3 f. sg.	to go, leave, depart	aṯt trḫ w tbˤt 'he married a woman but she departed/died' (DULAT; EUPT G-SK 3 f. sg.).
# KTU 1.14 I:15							
160567	ṯt	ṯt  	ṯ(n(t(II)/t	ṯn (II)	num. f.	second	DULAT/Ginsberg read these signs as ṯảr ủm 'a mother's surety' (different word-division): ṯảr ủm tkn lh.
160568	rum	rum  	rum/	rủm	n. m. sg. abs. nom.	wild bull	See 132102 (ṯảr ủm reading).
160569	tkn	tkn  	!t!kn[	/k-n/	vb G prefc. 3 f. sg.	to be (stable)	tkn lh 'she was for him' (DULAT).
160570	lh	lh	l(I)+h	l (I)	prep. + 3 m. sg. suff.	to	
# KTU 1.14 I:16							
160571	ṯmṯlṯt	[[ṯ]]mṯlṯt    	ṯ]m[ṯlṯ(t/t	mṯlṯt	n. f. sg. abs. nom.	the third (one)	mṯlṯt kṯrm tmt 'the third died in full vigour' (DULAT); surface ṯmṯlṯt (scribal ṯm for m?).
160572	kṯrm	kṯrm  	kṯr(II)/~m	kṯr (II)	n. m. sg. abs. acc. + encl. -m	vigour, good health	kṯrm tmt 'died in (full) vigour'.
160573	tmt	tmt	tm/t	tm	adj. f. sg. abs. nom.	complete, full	
160573	tmt	tmt	!t!mt[	/m-t/	vb G prefc. 3 f. sg.	to die	wg reads tmt as vb 'dies'.
# KTU 1.14 I:17							
160574	mrbˤt	mrbʿt  	mrbˤ(t/t	mrbʕt	n. f. sg. abs. nom.	the fourth	mrbˤt zblnm 'the fourth (died) of sickness'.
160575	zblnm	zblnm	zbln/~m	zbln	n. m. sg. abs. gen. + encl. -m	sickness, illness	
# KTU 1.14 I:18							
160576	mḫmšt	mḫmšt  	mḫmš(t/t	mḫmšt	n. f. sg. abs. nom.	the fifth one	mḫmšt yitsp ršp 'the fifth Rašap gathered to himself'.
160577	yitsp	yitsp	!y!(ʔ&i]t]sp[	/ʔ-s-p/	vb Gt prefc. 3 m. sg.	to gather (for oneself)	
# KTU 1.14 I:19							
160578	ršp	ršp  	ršp/	ršp	DN m. sg. abs. nom.	Rašap	DN of flame/plague.
160579	mṯdṯt	mṯdṯt  	mṯdṯ(t/t	mṯdṯt	n. f. sg. abs. nom.	the sixth	mṯdṯt ġlm ym 'the sixth (Yammu the) Noble gathered'.
160580	ġlm	ġlm	ġlm/	ġlm	n. m. sg. abs. nom.	boy, youth	Primary: ġlm ym as the epithet 'Noble Yammu', supported by DULAT and the parallel sequence of agents.
160580	ġlm	ġlm	ġlm/	ġlm	n. m. pl. cstr. nom.	boy, youth	Alt. EUPT: ġalamū yammi 'the young men of Yammu' (Nom. m. pl. St.cs.).
160580	ġlm	ġlm	ġlm(I)[	ġlm (I)	vb G suffc. 3 m. sg.	to conceal, hide	Alt. Burns Contextualist Workbook (DN section β): mṯdṯt ġlm ym 'Yammu concealed the sixth'; current DULAT's verbal homonym glosses 'to be dark'.
# KTU 1.14 I:20							
160581	ym	ym  	ym(II)/	ym (II)	DN m. sg. abs. nom.	Yammu	Primary: DULAT reads ġlm ym as 'Noble Yammu'.
