id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.5 I:1						
139769	k	k(III)	k (III)	subordinating / completive functor	when	
139770	tmḫṣ	!t=!mḫṣ[	/m-ḫ-ṣ/	vb G prefc. 2 m. sg.	to wound	
139771	ltn	ltn(I)/	ltn (I)	DN m. sg. abs. acc.	Lôtan	
139772	bṯn	bṯn/	bṯn	n. m. sg. abs. acc.	serpent	
139773	brḥ	brḥ/	brḥ	adj. m. sg. abs. acc.	fleeing	
# KTU 1.5 I:2						
139774	tkly	!t=!kly[:d	/k-l-y/	vb D prefc. 2 m. sg.	to finish	
139775	bṯn	bṯn/	bṯn	n. m. sg. abs. acc.	serpent	
139776	ˤqltn	ˤqltn/	ʕqltn	adj. m. sg. abs. acc.	winding	
139777	š	&š	?	?	?	
# KTU 1.5 I:3						
139778	šlyṭ	šlyṭ/	šlyṭ	n. m. sg. abs. acc.	tyrant, powerful	
139778	šlyṭ	]š]l(w&yṭ/[	/l-w-ṭ/	vb Š act. ptcpl. m. sg. abs. acc.	to enwrap, to encircle	Not in DULAT
139778	šlyṭ	]š]lyṭ/[	/l-y-ṭ/	vb Š act. ptcpl. m. sg. abs. acc.	to enwrap, to encircle	Not in DULAT
139778	šlyṭ	]š]lyṭ/[	/l-y-ṭ/	vb Š pass. ptcpl. m. sg. abs. acc.	to be cursed	Not in DULAT
139778	šlyṭ	šlyṭ/	šlyṭ	DN m. abs. acc.	Šaliyaṭu	Not in DULAT
139779	d	d	d	det. or rel. functor	the one(s) of	
139780	šbˤt	šbˤ(I)/t	šbʕ (I)	n. num. f. sg.	seven	
139781	rašm	r(i&aš(I)/m	rỉš (I)	n. m. pl. abs. acc.?	head	
# KTU 1.5 I:4						
139782	tṯkḥ	!t!ṯkḥ[:w	/ṯ-k-ḥ/	vb G prefc. 3 m. pl.	to burn	
139782	tṯkḥ	!t!ṯkḥ[	/ṯ-k-ḥ/	vb G prefc. 3 m. du.	to burn	# if šmm is du.
139783	ttrp	!t!]t]rp(y[p:d:w	/r-p-y/	vb Dt prefc. 3 m. pl.	to slacken	
139783	ttrp	!t!]t]rp(y[p:d	/r-p-y/	vb Dt prefc. 3 m. du.	to slacken	# if šmm is du.
139784	šmm	šm(m(I)/m	šmm (I)	n. m. pl. tant. / n. m. du. tant. abs. nom.	heavens	
139785	krs	k(I); r(ks/	k (I); rks	prep.; n. m. sg. abs. gen.	like; belt	
139785	krs	k(I); rs/[	k (I); /r-s/	prep.; vb G? act. ptcpl. m. pl. abs. nom.	like; to fold?	UNP: 'but let me tear you to pieces', Gibson: 'with a breaking in pieces', TCS: 'like the folds (?)', noun or verbal noun?
# KTU 1.5 I:5						
