id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.104 1						
160524	l	l(I)	l (I)	prep.	to	
160524	l	l(III)	l (III)	functor	certainly	
160525	urtn	?	?	?	?	DULAT: NOT FOUND
160526	aḫy	aḫ(I)/+y	ảḫ (I)	n. m.	brother (by blood)	
# KTU 2.104 2						
160527	rgm	rgm[	/r-g-m/	vb G	to say	
160527	rgm	rgm/	rgm	n. m. sg.	word	
160528	tḥm	tḥm/	tḥm	n. m. sg.	message	
# KTU 2.104 3						
160529	ˤṯty	ˤṯty	ʕṯty			
160530	aḫtk	aḫt(I)/+k	ảḫt (I)	n. f.	sister (related by blood)	
# KTU 2.104 4						
160531	ilm	il(I)/m	ỉl (I)	n. m. pl.	god	
160532	tšlmk	!t!šlm[k:d	/š-l-m/	vb D	to be well	
# KTU 2.104 5						
160533	tġrk	nġr[k	/n-ġ-r/	vb G	to protect	
# KTU 2.104 6						
160534	ṯlṯ	ṯlṯ(I)/	ṯlṯ (I)	n. sg. num.	three	
160534	ṯlṯ	ṯlṯ(V)/	ṯlṯ (V)	n. m. sg.	copper	
160534	ṯlṯ	ṯlṯ(II)/	ṯlṯ (II)	adj. m. sg. ord. num.	third	
160535	ymm	ym(I)/m	ym (I)	n. m.	day	
160535	ymm	ym(II)/	ym (II)	n. m. sg.	sea	
160536	k	+k	-k (I)			
160536	k	~k	-k (II)			
160536	k	k(III)	k (III)	Subordinating or completive functor	when	
160536	k	k(I)	k (I)	prep.	like	
160536	k	k(II)	k (II)	emph. functor	yes	
160537	inn	in/	ỉn	n. m. sg.	lack of	
160538	akl	akl(II)/	ảkl (II)	n. m. sg.	grain	
# KTU 2.104 7						
160539	xbtk	?	?	?	?	DULAT: NOT FOUND
160540	w	w	w	conj.	and	
160541	l	l(I)	l (I)	prep.	to	
160541	l	l(III)	l (III)	functor	certainly	
160542	xxxnxxx	?	?	?	?	DULAT: NOT FOUND
# KTU 2.104 8						
160543	ṯkp	ṯkp[	/ṯ-k-p/	vb	?	
160544	k	+k	-k (I)			
160544	k	~k	-k (II)			
160544	k	k(III)	k (III)	Subordinating or completive functor	when	
160544	k	k(I)	k (I)	prep.	like	
160544	k	k(II)	k (II)	emph. functor	yes	
160545	znt	zn(t/t	znt	n. f. sg.	sustenance	
160546	xbl	?	?	?	?	DULAT: NOT FOUND
# KTU 2.104 9						
160547	bt	b(t(II)/t	bt (II)	n. m. sg.	house	
160547	bt	b(t(I)/t	bt (I)	n. f. sg.	daughter	
160547	bt	bt(III)/	bt (III)	n. m. pl.	length	
160548	mlk	mlk[	/m-l-k/	vb G	to reign	
160548	mlk	mlk(II)/	mlk (II)	n. m. sg.	kingdom (power and territory)	
160549	w	w	w	conj.	and	
160550	ht	ht	ht	adv.	here	
160551	ṯnidm	ṯnid	ṯnỉd	adv.	twice	
# KTU 2.104 10						
160552	ybl	!y!(ybl[	/y-b-l/	vb G	to carry	
160553	w	w	w	conj.	and	
160554	yštal	š]t]ʔl[l	/š-ʔ-l/	vb Gt	to ask	
# KTU 2.104 11						
160555	xx	?	?	?	?	
160556	ybl	!y!(ybl[	/y-b-l/	vb G	to carry	
160557	lḥt	lḥ(II)/t=	lḥ (II)	n. m. pl.	missive	
160558	hn	hn	hn	deictic functor/adv.	behold!	
160559	šmn	šmn(I)/	šmn (I)	n. m. sg.	oil	
# KTU 2.104 12						
160560	xxxt	?	?	?	?	DULAT: NOT FOUND
160561	rqḥx	?	?	?	?	DULAT: NOT FOUND
160562	w	w	w	conj.	and	
160563	ˤṣm	ˤṣ/m	ʕṣ	n. m. pl.	tree	
# KTU 2.104 13						
160564	xxxn	?	?	?	?	DULAT: NOT FOUND
160565	lh	l(I)+h	l (I)	prep.	to	
