id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.6 1						
156458	tḥm	tḥm/	tḥm	n. m. sg.	message	
156459	hl	hl	hl	deictic adv. functor	behold	
# KTU 2.6 2						
156460	l	l(I)	l (I)	prep.	to	
156460	l	l(III)	l (III)	functor	certainly	
156461	pzry	pzry/	pzry	PN	pzry	
156462	aby	ab/+y	ảb	n. m.	father	
# KTU 2.6 3						
156463	w	w	w	conj.	and	
156464	lgpn	?	?	?	?	DULAT: NOT FOUND
156465	rgm	rgm[	/r-g-m/	vb G	to say	
156465	rgm	rgm/	rgm	n. m. sg.	word	
# KTU 2.6 4						
156466	yšlm	!y!šlm[	/š-l-m/	vb G	to be well	
156467	lkm	l(I)+km	l (I)	prep.	to	
# KTU 2.6 5						
156468	ilm	il(I)/m	ỉl (I)	n. m. pl.	god	
156469	tġrkm	nġr[km	/n-ġ-r/	vb G	to protect	
# KTU 2.6 6						
156470	tšlmkm	!t!šlm[km:d	/š-l-m/	vb D	to be well	
# KTU 2.6 7						
156471	xxš	?	?	?	?	DULAT: NOT FOUND
# KTU 2.6 8						
156472		?	?	?	?	
# KTU 2.6 9						
156473	h	+h, +h=	-h (I)	suff. pn. morph.	his /her (hers) / its	
156473	h	~h	-h(II)	adv. functor	to, towards	
# KTU 2.6 10						
156474	x	?	?	?	?	
# KTU 2.6 11						
156475	w	w	w	conj.	and	
# KTU 2.6 12						
156476	w	w	w	conj.	and	
# KTU 2.6 13						
156477	wrgm	?	?	?	?	DULAT: NOT FOUND
# KTU 2.6 14						
156478	tṯṯb	]š]ṯb[ṯb	/ṯ-b/	vb Š	to return	
