id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.176 1						
155995		?	?	?	?	
# KTU 1.176 2						
155996		?	?	?	?	
# KTU 1.176 3						
155997	plg	plg/	plg	n. m. sg. cstr. nom.	stream	
155998	yt	yt/	yt	n. m. sg. cstr. gen.	?	
155999		?	?	?	?	
# KTU 1.176 4						
156000	dm	dm(II)/	dm (II)	n. m. sg. cstr. gen.	blood	
156001	lšn	lšn/	lšn	n. f. sg. abs. gen.	tongue	
156002	x	?	?	?	?	
# KTU 1.176 5						
156003	th	?	?	?	?	DULAT: NOT FOUND
156004	plg	plg[	/p-l-g/	vb G suffc. 3 m. sg.	to be split	
156004	plg	(]n]plg[	/p-l-g/	vb N suffc. 3 m. sg.	to be split	
156004	plg	(]n]plg[:w	/p-l-g/	vb N suffc. 3 m. pl.	to be split	
156004	plg	plg/	plg	n. m. sg. abs. nom.	stream	
156005		?	?	?	?	
# KTU 1.176 6						
156006	ˤlyt	ˤlyt	ʕlyt	?	?	
156007	dk	d+k	d	det. or rel. functor	the one(s) of	
# KTU 1.176 7						
156008	rps	?	?	?	?	DULAT: NOT FOUND
156009	l	l(I)	l (I)	prep.	to	
156009	l	l(III)	l (III)	functor	certainly	
156010	ˤ	?	?	?	?	DULAT: NOT FOUND
# KTU 1.176 8						
156011	yt	yt/	yt	n. m. sg. cstr. nom.	?	
156012	lḥk	lḥ(II)/+k	lḥ (II)	n. m. cstr. gen.	missive	
156012	lḥk	lḥ(I)/+k	lḥ (I)	n. f. cstr. gen.	cheek	
# KTU 1.176 9						
156013	in	in/	ỉn	n. m. sg. abs. nom.	lack of	
156014	dbḥ	dbḥ/	dbḥ	n. m. pl. cstr. nom.	sacrifice	
156014	dbḥ	dbḥ/	dbḥ	n. m. sg. abs. nom.	sacrifice	
156014	dbḥ	dbḥ[	/d-b-ḥ/	vb G suffc. 3 m. sg.	to sacrifice	
156014	dbḥ	dbḥ[	/d-b-ḥ/	vb G impv. 2	to sacrifice	
