id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.176 1						
155995		?	?	?	?	
# KTU 1.176 2						
155996		?	?	?	?	
# KTU 1.176 3						
155997	plg	plg[	/p-l-g/	vb G suffc. / vb N suffc.	to be split	
155997	plg	plg/	plg	n. m. sg.	stream	
155998	yt	yt/	yt	n. m. sg.	?	
155999		?	?	?	?	
# KTU 1.176 4						
156000	dm	dm(II)/	dm (II)	n. m.	blood	
156000	dm	dm(I)	dm (I)	functor	since	
156001	lšn	lšn/	lšn	n. f. sg.	tongue	
156002	x	?	?	?	?	
# KTU 1.176 5						
156003	th	ˤl(I)+h	ʕl (I)	prep.	upon	
156003	th	aḫt(I)/+h	ảḫt (I)	n. f.	sister (related by blood)	
156003	th	ḥṭbt/+h	ḥṭbt	n. f.	(female) wood-cutter	
156004	plg	plg[	/p-l-g/	vb G suffc. / vb N suffc.	to be split	
156004	plg	plg/	plg	n. m. sg.	stream	
156005		?	?	?	?	
# KTU 1.176 6						
156006	ˤlyt	ˤlyt	ʕlyt	?	?	
156007	dk	d+k	d	det. or rel. functor	the one(s) of	
156007	dk	dll[+k	/d-l-l/	vb	to oppress	
# KTU 1.176 7						
156008	rps	?	?	?	?	DULAT: NOT FOUND
156009	l	l(I)	l (I)	prep.	to	
156009	l	l(III)	l (III)	functor	certainly	
156010	ˤ	?	?	?	?	
# KTU 1.176 8						
156011	yt	yt/	yt	n. m. sg.	?	
156012	lḥk	lḥ(II)/+k	lḥ (II)	n. m.	missive	
156012	lḥk	lḥ(I)/+k	lḥ (I)	n. f.	cheek	
# KTU 1.176 9						
156013	in	in/	ỉn	n. m. sg.	lack of	
156014	dbḥ	dbḥ/	dbḥ	n. m. sg. / n. m. pl. cstr.	sacrifice	
156014	dbḥ	dbḥ[	/d-b-ḥ/	vb G suffc. / vb G impv.	to sacrifice	
156014	dbḥ	dbḥ[/	/d-b-ḥ/	vb G act. ptcpl.	to sacrifice	
156015		?	?	?	?	
# KTU 1.176 10						
