id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.142 1						
154940	dbḥt	dbḥ(t/t	dbḥt	n. f. sg.	A mode or manner of slaughter	
154941	byy	b+y	b	prep.	in	
154941	byy	byy/	byy	PN	byy	
154942	bn	bn(I)/	bn (I)	n. m. sg. / n. m. pl. cstr.	son	
154942	bn	bn(II)	bn (II)	prep.	between	
154942	bn	bn[	/b-n/	vb G suffc. / vb G impv.	to understand	
# KTU 1.142 2						
154943	ṭry	ṭry(I)/	ṭry (I)	adj. m. sg.	fresh food	
154944	l	l(I)	l (I)	prep.	to	
154944	l	l(III)	l (III)	functor	certainly	
154945	ˤṯtr	ˤṯtr/	ʕṯtr	DN	ʿAṯtar	
# KTU 1.142 3						
154946	d	d	d	det. or rel. functor	the one(s) of	
154947	b	b	b	prep.	in	
154948	tbr	tbr	tbr			
