id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 3.22 1						
161728	mitm	mi(t/tm	mỉt	n. f.	a hundred	
161729	kkr	kkr/	kkr	n. m.	talent	
# KTU 3.22 2						
161730	alp	alp(I)/	ảlp (I)	n. m.	(head of) cattle	
161730	alp	alp(II)/	ảlp (II)	num.	(one	
161731	mitm	mi(t/tm	mỉt	n. f.	a hundred	
161732	kbd	kbd(II)/	kbd (II)	n. m.	total (quantity or price)	
161732	kbd	kbd(I)/	kbd (I)	n.	liver	
161732	kbd	kbd[	/k-b-d/	vb D	to honour	
# KTU 3.22 3						
161733	d	d	d	det. or rel. functor	the one(s) of	
161734	ytn	!y!(ytn[	/y-t-n/	vb G	to give	
161735	mlk	mlk[	/m-l-k/	vb G	to reign	
161735	mlk	mlk(II)/	mlk (II)	n. m.	kingdom (power and territory)	
# KTU 3.22 4						
161736	bd	b	b	prep.	in	
161737	snrn	snr(I)/+n	snr (I)	TN	snr (I)	
# KTU 3.22 5						
161738	ylqḥšxx	?	?	?	?	DULAT: NOT FOUND
# KTU 3.22 6						
161739	w	w	w	conj.	and	
161740	bd	b	b	prep.	in	
