id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.115 1						
153946	id	id	ỉd	conj.	when	
153947	ydbḥ	!y!dbḥ[	/d-b-ḥ/	vb G	to sacrifice	
153948	mlk	mlk[	/m-l-k/	vb G	to reign	
153948	mlk	mlk(II)/	mlk (II)	n. m.	kingdom (power and territory)	
# KTU 1.115 2						
153949	l	l(I)	l (I)	prep.	to	
153949	l	l(III)	l (III)	functor	certainly	
153950	ušḫr	ušḫr/	ủšḫr	DN	Snake	
153951	ḫlmẓ	ḫlmẓ/	ḫlmẓ	n. m.	Snake	
# KTU 1.115 3						
153952	l	l(I)	l (I)	prep.	to	
153952	l	l(III)	l (III)	functor	certainly	
153953	bbt	bbt(II)/	bbt (II)	DN	superintendent	
153953	bbt	bbt(I)/	bbt (I)	TN	bbt (I)	
153954	il	il(I)/	ỉl (I)	n. m.	god	
153955	bt	bt(II)/	bt (II)	n. m.	house	
153955	bt	b(t(I)/t	bt (I)	n. f.	daughter	
# KTU 1.115 4						
153956	š	š/	š	n. m.	ram	
153957	lḫlmẓ	?	?	?	?	DULAT: NOT FOUND
# KTU 1.115 5						
153958	w	w	w	conj.	and	
153959	tr	!t!r[	/t-r/	vb G	to scour	
153959	tr	tr(II)/	tr (II)	n. m.	turtledove	
153960	l	l(I)	l (I)	prep.	to	
153960	l	l(III)	l (III)	functor	certainly	
153961	qlḥ	qlḥ/	qlḥ	DN	Sprout	
# KTU 1.115 6						
153962	w	w	w	conj.	and	
153963	šḥll	?	?	?	?	DULAT: NOT FOUND
153964	ydm	yd(I)/	yd (I)	n. f.	hand	
# KTU 1.115 7						
153965	b	b	b	prep.	in	
153966	qdš	qdš(I)/	qdš (I)	adj. m.	holy	
153966	qdš	qdš(II)/	qdš (II)	n. m.	sanctuary	
153967	il	il(I)/	ỉl (I)	n. m.	god	
153968	bt	bt(II)/	bt (II)	n. m.	house	
153968	bt	b(t(I)/t	bt (I)	n. f.	daughter	
# KTU 1.115 8						
153969	w	w	w	conj.	and	
153970	tlḥm	!t!lḥm(I)[	/l-ḥ-m/ (I)	vb G	to eat	
153971	aṯt	aṯ(t/t	ảṯt	n. f.	woman	
# KTU 1.115 9						
153972	š	š/	š	n. m.	ram	
153973	lil	?	?	?	?	DULAT: NOT FOUND
153974	bt	bt(II)/	bt (II)	n. m.	house	
153974	bt	b(t(I)/t	bt (I)	n. f.	daughter	
153975	šlmm	šlm(II)/~m	šlm (II)	n. m.	communion victim / sacrifice	
153975	šlmm	šlm(II)/m	šlm (II)	n. m.	communion victim / sacrifice	
# KTU 1.115 10						
153976	kll	kll/	kll	n. m.	totality	
153977	ylḥm	!y!lḥm(I)[	/l-ḥ-m/ (I)	vb G	to eat	
153978	bh	b	b	prep.	in	
# KTU 1.115 11						
153979	w	w	w	conj.	and	
153980	lbbt	?	?	?	?	DULAT: NOT FOUND
153981	šqym	šqy/m	šqy	n. m.	cupbearer	
153981	šqym	šq/	šq	n. m.	thigh	
# KTU 1.115 12						
153982	š	š/	š	n. m.	ram	
153983	lušḫr	?	?	?	?	DULAT: NOT FOUND
153984	ḫlmẓ	ḫlmẓ/	ḫlmẓ	n. m.	Snake	
# KTU 1.115 13						
153985	w	w	w	conj.	and	
153986	tr	!t!r[	/t-r/	vb G	to scour	
153986	tr	tr(II)/	tr (II)	n. m.	turtledove	
153987	lqlḥ	?	?	?	?	DULAT: NOT FOUND
# KTU 1.115 14						
153988	ym	ym(I)/	ym (I)	n. m.	day	
153988	ym	ym(II)/	ym (II)	n. m.	sea	
153989	aḥd	aḥd/	ảḥd	adj. num./adv. num.	one	
153989	aḥd	ḥdy[	/ḥ-d-y/	vb G	to see	
153989	aḥd	aḥd(II)/	ảḥd (II)	subst./adj.	only one	
