id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.171 1						
155759	bn	bn(I)/	bn (I)	n. m.	son	
155759	bn	bn(II)	bn (II)	prep.	between	
155759	bn	bn[	/b-n/	vb G	to understand	
155760	bt	bt(II)/	bt (II)	n. m.	house	
155760	bt	b(t(I)/t	bt (I)	n. f.	daughter	
155761	mlk	mlk[	/m-l-k/	vb G	to reign	
155761	mlk	mlk(II)/	mlk (II)	n. m.	kingdom (power and territory)	
# KTU 1.171 2						
155762	š	š/	š	n. m.	ram	
155763	šrp	šrp/	šrp	n. m.	burnt sacrifice	
155764	alp	alp(I)/	ảlp (I)	n. m.	(head of) cattle	
155764	alp	alp(II)/	ảlp (II)	num.	(one	
155765	w	w	w	conj.	and	
155766	š	š/	š	n. m.	ram	
155767	šlmm	šlm(II)/~m	šlm (II)	n. m.	communion victim / sacrifice	
155767	šlmm	šlm(II)/m	šlm (II)	n. m.	communion victim / sacrifice	
# KTU 1.171 3						
155768	w	w	w	conj.	and	
155769	š	š/	š	n. m.	ram	
155770	l	l(I)	l (I)	prep.	to	
155771	ršp	ršp/	ršp	DN	Rašap	
155772	bbt	bbt(II)/	bbt (II)	DN	superintendent	
155772	bbt	bbt(I)/	bbt (I)	TN	bbt (I)	
155773	ˤṣrm	ˤṣr(I)/+m(I)	ʕṣr (I)	n. f.	bird	
155773	ˤṣrm	ˤṣr(I)/+m(II)	ʕṣr (I)	n. f.	bird	
# KTU 1.171 4						
155774	rm	rm(I)/	rm (I)	adj. m.	high	
155774	rm	rm[	/r-m/	vb G	to go up	
155774	rm	rm(II)/	rm (II)	n. m.	erection	
155775	w	w	w	conj.	and	
155776	mlk	mlk[	/m-l-k/	vb G	to reign	
155776	mlk	mlk(II)/	mlk (II)	n. m.	kingdom (power and territory)	
155777	ykbd	?	?	?	?	DULAT: NOT FOUND
155778	x	?	?	?	?	
# KTU 1.171 5						
155779		?	?	?	?	
155780	šrp	šrp/	šrp	n. m.	burnt sacrifice	
155781	ˤṣrm	ˤṣr(I)/+m(I)	ʕṣr (I)	n. f.	bird	
155781	ˤṣrm	ˤṣr(I)/+m(II)	ʕṣr (I)	n. f.	bird	
155782	l	l(I)	l (I)	prep.	to	
155782	l	l(III)	l (III)	functor	certainly	
155783	inšilm	?	?	?	?	DULAT: NOT FOUND
# KTU 1.171 6						
155784	ṯdṯ	ṯdṯ/	ṯdṯ	adj./ord. num.	sixth	
155785	yṯb	!y!(yṯb[	/y-ṯ-b/	vb G	to sit down	
155786	mlk	mlk[	/m-l-k/	vb G	to reign	
155786	mlk	mlk(II)/	mlk (II)	n. m.	kingdom (power and territory)	
155787	b	b	b	prep.	in	
155788	urbt	urb(t/t	ủrbt	n. f.	window	
# KTU 1.171 7						
155789	śd	kms[+d	/k-m-s/	vb D	to buckle	
155790	b	b	b	prep.	in	
155791	šbˤ	šbˤ(I)/	šbʕ (I)	n. num.	seven	
155792	ḫdś	ḫd	ḫdś	→		
155793	ṯrx	?	?	?	?	DULAT: NOT FOUND
# KTU 1.171 8						
155794	xt	?	?	?	?	DULAT: NOT FOUND
155795	npš	npš(I)/	npš (I)	n. f.	throat	
155796		?	?	?	?	
