id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.30 1						
157189	l	l(I)	l (I)	prep.	to	
157190	mlkt	mlk(t/t	mlkt	n. f. sg.	queen	
157191	umy	um/y	ủm	n. f. sg.	mother	
# KTU 2.30 2						
157192	rgm	rgm[	/r-g-m/	vb G	to say	
157192	rgm	rgm/	rgm	n. m. sg.	word	
157193	tḥm	tḥm/	tḥm	n. m. sg.	message	
# KTU 2.30 3						
157194	mlk	mlk[	/m-l-k/	vb G	to reign	
157194	mlk	mlk(II)/	mlk (II)	n. m. sg.	kingdom (power and territory)	
157195	bnk	bn(I)/+k	bn (I)	n. m.	son	
# KTU 2.30 4						
157196	l	l(I)	l (I)	prep.	to	
157197	pˤn	pˤn/	pʕn	n. f. du.	at the feet of	
157198	umy	um/y	ủm	n. f. sg.	mother	
# KTU 2.30 5						
157199	qlt	ql[t	/q-l/	vb G	to fall (down)	
157200	ly	l(I)+y	l (I)	prep.	to	
157201	umy	um/y	ủm	n. f. sg.	mother	
# KTU 2.30 6						
157202	yšlm	!y!šlm[	/š-l-m/	vb G	to be well	
157203	ilm	il(I)/m	ỉl (I)	n. m. pl.	god	
# KTU 2.30 7						
157204	tġrk	nġr[k	/n-ġ-r/	vb G	to protect	
157205	tšlmk	!t!šlm[k:d	/š-l-m/	vb D	to be well	
# KTU 2.30 8						
157206	hlny	hlny	hlny	deictic adv. functor	behold	
157207	ˤmny	ˤm(I)+ny	ʕm (I)	prep.	to	
157207	ˤmny	ˤm(I)+y	ʕm (I)	prep.	to	
157208	šlm	šlm(I)/	šlm (I)	n. m. sg.	peace	
157208	šlm	šlm[:d	/š-l-m/	vb G/D	to be well	
157208	šlm	šlm(III)/	šlm (III)	adj. m. sg.	pure	
# KTU 2.30 9						
157209	w	w	w	conj.	and	
157210	ṯmt	ṯm	ṯm	adv.	there	
157211	ˤm	ˤm(I)	ʕm (I)	prep.	to	
157212	umy	um/y	ủm	n. f. sg.	mother	
# KTU 2.30 10						
157213	mnm	mnm	mnm	indef. pn.	any(thing)	
157214	šlm	šlm(I)/	šlm (I)	n. m. sg.	peace	
157214	šlm	šlm[:d	/š-l-m/	vb G/D	to be well	
157214	šlm	šlm(III)/	šlm (III)	adj. m. sg.	pure	
# KTU 2.30 11						
157215	w	w	w	conj.	and	
157216	rgm	rgm[	/r-g-m/	vb G	to say	
157216	rgm	rgm/	rgm	n. m. sg.	word	
157217	ṯṯb	]š]ṯb[b	/ṯ-b/	vb Š	to return	
157218	ly	l(I)+y	l (I)	prep.	to	
# KTU 2.30 12						
157219	hlny	hlny	hlny	deictic adv. functor	behold	
157220	ˤmn	ˤm(I)+n	ʕm (I)	prep.	to	
# KTU 2.30 13						
157221	mlk	mlk[	/m-l-k/	vb G	to reign	
157221	mlk	mlk(II)/	mlk (II)	n. m. sg.	kingdom (power and territory)	
157222	b	b	b	prep.	in	
157223	tyndr	?	?	?	?	DULAT: NOT FOUND
# KTU 2.30 14						
157224	iṯt	iṯt	ỉṯt	?	?	
157225	w	w	w	conj.	and	
157226	ht	ht	ht	adv.	here	
# KTU 2.30 15						
157227	ysny	ysny/	ysny	PN	to increase	
157227	ysny	nsy(II)[+ny	/n-s-y/ (II)	vb	to remove	
157228	uḏrh	uḏr(I)/h	ủḏr (I)	n. m. sg.	express messenger	
# KTU 2.30 16						
157229	w	w	w	conj.	and	
157230	hm	hm(II)	hm (II)	conj./interr. functor	if	
157230	hm	hm(I)	hm (I)	pers. pn.	they	
157231	ḫt	ḫt[	/ḫ-t(-t)/	vb G	to break	
# KTU 2.30 17						
157232	ˤl	ˤl(I)	ʕl (I)	prep.	upon	
157233	w	w	w	conj.	and	
157234	likt	l(ʔ&ik[t	/l-ʔ-k/	vb G	to send (a message)	
# KTU 2.30 18						
157235	ˤmk	ˤm(II)/+k	ʕm (II)	n. m. sg.	lineage	
157236	w	w	w	conj.	and	
157237	hm	hm(II)	hm (II)	conj./interr. functor	if	
157237	hm	hm(I)	hm (I)	pers. pn.	they	
# KTU 2.30 19						
157238	l	l(I)	l (I)	prep.	to	
157238	l	l(III)	l (III)	functor	certainly	
157239	ˤl	ˤl(I)	ʕl (I)	prep.	upon	
157240	w	w	w	conj.	and	
157241	lakm	l(ʔ&ak[m	/l-ʔ-k/	vb G	to send (a message)	
# KTU 2.30 20						
157242	ilak	lʔk[k	/l-ʔ-k/	vb G	to send (a message)	
157243	w	w	w	conj.	and	
157244	at	at(I)	ảt (I)	pers. pn.	you	
# KTU 2.30 21						
157245	umy	um/y	ủm	n. f. sg.	mother	
157246	al	al(I)	ảl (I)	neg. functor	no	
157246	al	al(II)	ảl (II)	pos. functor	surely	
157247	tdḥṣ	!t!dḥṣ[	/d-ḥ-ṣ/	vb	to be worried	
# KTU 2.30 22						
157248	w	w	w	conj.	and	
157249	ap	ap(I)	ảp (I)	adv./conj.	also	
157249	ap	ap(II)/	ảp (II)	n. m.	nose	
157250	mhkm	mhk	mhk(m)	indef. pn.	anything	
# KTU 2.30 23						
157251	b	b	b	prep.	in	
157252	lbk	lb/	lb	n. m. sg.	heart	
157253	al	al(I)	ảl (I)	neg. functor	no	
157253	al	al(II)	ảl (II)	pos. functor	surely	
# KTU 2.30 24						
157254	tšt	!t!št[	/š-t/	vb G	to place	
157254	tšt	!t!št(y[	/š-t-y/	vb G	to drink	
