id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.69 1						
149508	ḏmrk	ḏmr(II)/+k	ḏmr (II)	n. m. sg.	fortress	
149509	bltn	bl(I)+n	bl (I)	adv. or emph. functor	no	
149509	bltn	blt[+n	/b-l-t/	vb G suffc.	to open wide	
149509	bltn	bly[+n	/b-l-y/	vb	to devour	
149510	i	i(I)	ỉ (I)	interj.	woe	
149511		?	?	?	?	
# KTU 1.69 2						
149512	mṯ	mṯn/	mṯn	n. m.	repetition	
149512	mṯ	mṯ(I)/	mṯ (I)	n. m. sg.	infant	
149513	mṯty	mṯt/+y	mṯt	n. f.	damsel	
149514	klt	kl(t(I)/t	klt (I)	n. f. sg.	bride	
149514	klt	kl(t(I)/t=	/k-l-y/	vb G suffc. / vb D suffc.	to finish	
149514	klt	kly[	klt (II)	n. f. sg.	measure	
149514	klt	kl(t(II)/t				
149515	mx	?	?	?	?	DULAT: NOT FOUND
# KTU 1.69 3						
149516	n	~n	-n (I)	encl. morph.		
149516	n	[n, [n=	-n (II)	suffixed pn. morph. used with vb	me/to me	
149516	n	+n, +n=	-n (III)	suff. pn. morph. 1.p.pl.	our/us	
149516	n		-n (IV)	contracted suff. pn. morph. used with a vb	him/her/it	
149517	ll	ll(I)/	ll (I)	n. m. sg.	night	
149518	irbt	?	?	?	?	DULAT: NOT FOUND
149519	ryb	?	?	?	?	DULAT: NOT FOUND
149520	g	ṯig(t/t	ṯỉgt	n. f. sg.	neighing	
# KTU 1.69 4						
149521	t	/t, /t=				
149521	t	[t, [t=, [t==, [t===				
149522	aḏmr	?	?	?	?	DULAT: NOT FOUND
149523	mˤnh	mˤn/+h	mʕn	n. m.	reply	
149524	w	w	w	conj.	and	
# KTU 1.69 5						
149525	km	k(III)	k (III)	functor	when	
149525	km	k(I)	k (I)	prep.	like	
149525	km	k(IV)	k (IV)	adv.	thus	
149525	km	km	km	prep./conj./adv.		
149525	km	+km, +km=	-km			
149526	ṯtmr	?	?	?	?	DULAT: NOT FOUND
149527	mṯt	mṯ(t/t	mṯt	n. f. sg.	damsel	
149528	klt	kl(t(I)/t	klt (I)	n. f. sg.	bride	
149528	klt	kl(t(I)/t=	/k-l-y/	vb G suffc. / vb D suffc.	to finish	
149528	klt	kly[	klt (II)	n. f. sg.	measure	
149528	klt	kl(t(II)/t				
# KTU 1.69 6						
149529	mṯty	mṯt/+y	mṯt	n. f.	damsel	
149530	klt	kl(t(I)/t	klt (I)	n. f. sg.	bride	
149530	klt	kl(t(I)/t=	/k-l-y/	vb G suffc. / vb D suffc.	to finish	
149530	klt	kly[	klt (II)	n. f. sg.	measure	
149530	klt	kl(t(II)/t				
149531	mkktm	?	?	?	?	DULAT: NOT FOUND
# KTU 1.69 7						
149532	bt	bt(II)/	bt (II)	n. m. sg.	house	
149532	bt	b(t(I)/t	bt (I)	n. f. sg.	daughter	
149533	ryb	?	?	?	?	DULAT: NOT FOUND
149534	lḏmrky	?	?	?	?	DULAT: NOT FOUND
# KTU 1.69 8						
149535	ušsk	?	?	?	?	DULAT: NOT FOUND
149536	utllt	?	?	?	?	DULAT: NOT FOUND
149537	u	u	ủ	conj.	or	
# KTU 1.69 9						
149538	rd	yrd[	/y-r-d/	vb G impv.	to go down	
149539	u	u	ủ	conj.	or	
149540	umam	?	?	?	?	DULAT: NOT FOUND
# KTU 1.69 10						
149541	l	l(I)	l (I)	prep.	to	
149541	l	l(III)	l (III)	functor	certainly	
149542	im	im	ỉm	conj.	if	
149543	lmṯ	?	?	?	?	DULAT: NOT FOUND
# KTU 1.69 11						
149544	nu	?	?	?	?	DULAT: NOT FOUND
149545	bly	ybl[+y	/y-b-l/	vb G prefc. / vb G suffc.	to carry	
149545	bly	bl(I)+y	bl (I)	adv. or emph. functor	no	
149545	bly	bly/	bly	PN	bly	
# KTU 1.69 12						
149546	x	?	?	?	?	
149547	nmq	?	?	?	?	DULAT: NOT FOUND
149548	p	p(I)	p (I)	conj. functor	and	
149548	p	p(III)/	p (III)	n. m.	mouth	
149548	p	p(II)	p (II)	adv.	here	
# KTU 1.69 13						
149549	xx	?	?	?	?	
# KTU 1.69 14						
149550	ṣk	mḫṣ[+k	/m-ḫ-ṣ/	vb G prefc.	to wound	
# KTU 1.69 15						
149551	n	~n	-n (I)	encl. morph.		
149551	n	[n, [n=	-n (II)	suffixed pn. morph. used with vb	me/to me	
149551	n	+n, +n=	-n (III)	suff. pn. morph. 1.p.pl.	our/us	
149551	n		-n (IV)	contracted suff. pn. morph. used with a vb	him/her/it	
149552	wan	?	?	?	?	DULAT: NOT FOUND
# KTU 1.69 16						
149553	sh	rks/+h	rks	n. m.	belt	
149554	illay	?	?	?	?	DULAT: NOT FOUND
