id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 3.16 1						
161522	xxx	?	?	?	?	
# KTU 3.16 2						
161523		?	?	?	?	
161524	ˤl	ˤl(I)	ʕl (I)	prep.	upon	
161525	ṯnyx	?	?	?	?	DULAT: NOT FOUND
# KTU 3.16 3						
161526	yrḫ	yrḫ/	yrḫ	n. m. sg.	moon	
161527	ḫyr	ḫyr/	ḫyr	MN	aller de ci de là	
161528	bth	bt(II)/+h	bt (II)	n. m.	house	
161529	a	?	?	?	?	
# KTU 3.16 4						
161530	hmšm	?	?	?	?	DULAT: NOT FOUND
161531	ksp	ksp/	ksp	n. m. sg.	silver	
161532	ˤl	ˤl(I)	ʕl (I)	prep.	upon	
161533	gd	gd(I)/	gd (I)	n. m.	coriander	
161533	gd	ṯigt/+d	ṯỉgt	n. f.	neighing, ?	
161533	gd	gd(II)/	gd (II)	n. m.	sinew	
# KTU 3.16 5						
161534	y	+y, [y	-y (I)	prep. functor	my	
161534	y	~y	-y (II)	prep. functor	indeed	
161534	y	y	y	prep. functor	oh!	
161535	ypḥ	ypḥ/	ypḥ	n. m. sg.	witness	
161536	ˤbdršp	ˤbdršp/	ʕbdršp	PN	ʿbdršp	
161537	b	b	b	prep.	in	
# KTU 3.16 6						
161538	arbˤt	arbˤ/	ảrbʕ	num.	four	
161539	ˤšrt	ˤšr(t(II)/t	ʕšrt (II)	n. f. sg.	group of ten	
161540	kbd	kbd(II)/	kbd (II)	n. m. sg.	total (quantity or price)	
161540	kbd	kbd(I)/	kbd (I)	n. sg. f.	liver	
161540	kbd	kbd[:d	/k-b-d/	vb D impv.	to honour	
# KTU 3.16 7						
161541	arwd	arw/+d	ảrw	n. m.	lion, ?	
161542	šm	š/m	š	n. m. du.	ram	
161542	šm	šm(I)/	šm (I)	n. m. sg.	name	
161543	bnš	bnš/	bnš	n. m. sg. / n. m. pl.	man	
# KTU 3.16 8						
161544	m	l(I)	l (I)	prep.	to	
161545	ksp	ksp/	ksp	n. m. sg.	silver	
161546	ˤl	ˤl(I)	ʕl (I)	prep.	upon	
161547	kš	kš/	kš	n. m. sg.	date	
# KTU 3.16 9						
161548	k	+k	-k (I)			
161548	k	~k	-k (II)			
161548	k	k(III)	k (III)	Subordinating or completive functor	when	
161548	k	k(I)	k (I)	prep.	like	
161548	k	k(II)	k (II)	emph. functor	yes	
# KTU 3.16 10						
161549	ksp	ksp/	ksp	n. m. sg.	silver	
161550	ˤl	ˤl(I)	ʕl (I)	prep.	upon	
161551	bnn	bnn(I)/	bnn (I)	n. m. sg.	carp	
# KTU 3.16 11						
161552	x	?	?	?	?	
161553	ksp	ksp/	ksp	n. m. sg.	silver	
# KTU 3.16 12						
161554	mhr	mhr(I)/	mhr (I)	n. m. sg.	warrior (trained, expert)	
# KTU 3.16 13						
161555	x	?	?	?	?	
161556	ˤl	ˤl(I)	ʕl (I)	prep.	upon	
161557	ynḥm	ynḥm/	ynḥm	PN	ynḥm	
# KTU 3.16 14						
161558	x	?	?	?	?	
161559	ˤl	ˤl(I)	ʕl (I)	prep.	upon	
161560	ab	ab/	ảb	n. m. sg.	father	
161561	b	b	b	prep.	in	
# KTU 3.16 15						
161562	ˤl	ˤl(I)	ʕl (I)	prep.	upon	
161563	ˤb	ˤbd(I)/	ʕbd (I)	n. m.	servant	
# KTU 3.16 16						
161564	ṣ	mḫṣ[	/m-ḫ-ṣ/	vb G prefc.	to wound	
161565	ˤl	ˤl(I)	ʕl (I)	prep.	upon	
