id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 3.5 1						
161027	l	l(I)	l (I)	prep.	to	
161027	l	l(III)	l (III)	functor	certainly	
161028	ym	ym(I)/	ym (I)	n. m.	day	
161028	ym	ym(II)/	ym (II)	n. m.	sea	
161029	hnd	hnd	hnd	dem. adj./pn.	this	
# KTU 3.5 2						
161030	ˤmṯtmr	ˤmṯtmr/	ʕmṯtmr	PN	ʿmṯtmr	
161031	bn	bn(I)/	bn (I)	n. m.	son	
161031	bn	bn(II)	bn (II)	prep.	between	
161031	bn	bn[	/b-n/	vb G	to understand	
# KTU 3.5 3						
161032	nqmpˤ	nqmpˤ/	nqmpʕ	PN	nqmpʿ	
161033	mlk	mlk[	/m-l-k/	vb G	to reign	
161033	mlk	mlk(II)/	mlk (II)	n. m.	kingdom (power and territory)	
# KTU 3.5 4						
161034	ugrt	ugrt/	ủgrt	TN	ʾugarītu	
161035	ytn	!y!(ytn[	/y-t-n/	vb G	to give	
# KTU 3.5 5						
161036	šd	šd(I)/	šd (I)	n. m.	open field	
161036	šd	šd(II)/	šd (II)	n. m.	a strip	
161036	šd	šdy[	/š-d-y/	vb G	to pour	
161037	kḏġdl	kḏġdl/	kḏġdl	PN	kḏġdl	
# KTU 3.5 6						
161038	uškn	uškn/	ủškn	TN	ủškn	
161039	d	d	d	det. or rel. functor	the one(s) of	
161040	b	b	b	prep.	in	
161041	šdy	šdy(II)/	šdy (II)	PN	šdy (II)	
161041	šdy	šdy(I)/	šdy (I)	adj. or n.	land labourer	
# KTU 3.5 7						
161042	bmt	bmt/	bmt	n. f.	back	
161043	yd	yd(I)/	yd (I)	n. f.	hand	
161043	yd	bd(IV)	bd (IV)	prep.	into the hands of	
161043	yd	yd(II)/	yd (II)	n. m.	love	
161044	gth	g(t/t	gt	n. f./element of TNN	gittu	
# KTU 3.5 8						
161045	yd	yd(I)/	yd (I)	n. f.	hand	
161045	yd	bd(IV)	bd (IV)	prep.	into the hands of	
161045	yd	yd(II)/	yd (II)	n. m.	love	
161046	zth	zt/+h	zt	n. m.	olive	
161047	yd	yd(I)/	yd (I)	n. f.	hand	
161047	yd	bd(IV)	bd (IV)	prep.	into the hands of	
161047	yd	yd(II)/	yd (II)	n. m.	love	
