id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.129 1						
154547	pš	?	?	?	?	DULAT: NOT FOUND
154548	ṣḥ	ṣḥ[	/ṣ-ḥ/	vb	to exclaim	
# KTU 1.129 2						
154549	m	l(I)	l (I)	prep.	to	
154550	ybky	!y!bky[	/b-k-y/	vb	to weep	
154551	x	?	?	?	?	
# KTU 1.129 3						
154552	x	?	?	?	?	
154553	nn	grš[; gr[	/g-r-š/; /g-r(-y)/	vb; vb	to eject; to attack	
154554	zbl	zbl(I)/; zbl(III)/	zbl (I); zbl (III)	n. m.; n. m.	prince; one carried	
# KTU 1.129 4						
154555	ḥkmt	ḥkm(t/t	ḥkmt	n. f.	wisdom	
154556	yx	?	?	?	?	DULAT: NOT FOUND
# KTU 1.129 5						
154557	t	/t, /t=;[t, [t=, [t==, [t===	;	;	;	
154558	y	+y, [y; ~y; y	-y (I); -y (II); y	prep. functor	my; indeed; oh!	
154559	bˤl	bˤl(II)/; bˤl[	bʕl (II); /b-ʕ-l/	n. m./DN; vb	Baʿlu/Baal; to make	
# KTU 1.129 6						
154560	xk	?	?	?	?	DULAT: NOT FOUND
154561	r	?	?	?	?	
