id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.67 1						
149453	lk	l(I)+k	l (I)	prep.	to	
# KTU 1.67 2						
149454	ṯlmḥ	?	?	?	?	DULAT: NOT FOUND
# KTU 1.67 3						
149455	w	w	w	conj.	and	
149456	krs	krs	krs			
149457	x	?	?	?	?	
# KTU 1.67 4						
149458	an	an(I)	ản (I)	pers. pn.	I	
149458	an	an(II)	ản (II)	adv.	wherever	
149459	mnmnm	mnmn/+m(I)	mnmn	indef. pers. pn./element of DN	anyone	
149460	a	?	?	?	?	
# KTU 1.67 5						
149461	w	w	w	conj.	and	
149462	lnl	?	?	?	?	DULAT: NOT FOUND
149463	mˤnh	mˤn/+h	mʕn	n. m.	reply	
149464		?	?	?	?	
# KTU 1.67 6						
149465	ilt	il(t(I)/t	ỉlt (I)	n. f. sg.	goddess	
149466	blt	bl(I)	bl (I)	adv. or emph. functor	no	
149466	blt	blt[	/b-l-t/	vb G suffc.	to open wide	
149466	blt	bly[t	/b-l-y/	vb G suffc.	to devour	
149467	blt	bl(I)	bl (I)	adv. or emph. functor	no	
149467	blt	blt[	/b-l-t/	vb G suffc.	to open wide	
149467	blt	bly[t	/b-l-y/	vb G suffc.	to devour	
149468	ṯp	?	?	?	?	DULAT: NOT FOUND
# KTU 1.67 7						
149469	a	?	?	?	?	
149470	anw	?	?	?	?	DULAT: NOT FOUND
149471	anw	?	?	?	?	DULAT: NOT FOUND
149472	ywl	?	?	?	?	DULAT: NOT FOUND
# KTU 1.67 8						
149473	yṯ	?	?	?	?	DULAT: NOT FOUND
149474	ṯpt	?	?	?	?	DULAT: NOT FOUND
149475	in	in/	ỉn	n. m. sg.	lack of	
149476	in	in/	ỉn	n. m. sg.	lack of	
149477	kly	kly[	/k-l-y/	vb G suffc.	to finish	
# KTU 1.67 9						
149478	rty	rt/+y	rt	PN	rt	
149479	ym	ym(I)/	ym (I)	n. m. sg.	day	
149479	ym	ym(II)/	ym (II)	n. m. sg.	sea	
149480	ulxxṯ	?	?	?	?	DULAT: NOT FOUND
# KTU 1.67 10						
149481	yṯ	?	?	?	?	DULAT: NOT FOUND
149482	lsḫ	?	?	?	?	DULAT: NOT FOUND
# KTU 1.67 11						
149483	ṯx	?	?	?	?	DULAT: NOT FOUND
# KTU 1.67 12						
149484	a	?	?	?	?	
# KTU 1.67 13						
149485	xx	?	?	?	?	
# KTU 1.67 14						
149486	dxmˤx	?	?	?	?	DULAT: NOT FOUND
# KTU 1.67 15						
149487	ištr	?	?	?	?	DULAT: NOT FOUND
149488	blt	bl(I)	bl (I)	adv. or emph. functor	no	
149488	blt	blt[	/b-l-t/	vb G suffc.	to open wide	
149488	blt	bly[t	/b-l-y/	vb G suffc.	to devour	
149489	in	in/	ỉn	n. m. sg.	lack of	
# KTU 1.67 16						
149490	bltnrḫ	?	?	?	?	DULAT: NOT FOUND
149491	uṯp	?	?	?	?	DULAT: NOT FOUND
# KTU 1.67 17						
149492	pṯtn	pṯt(I)/+n	pṯt (I)	n. m.	linen	
149493	hd	hd/	hd(d)	DN	Haddu/Hadad	
149494	ṯb	ṯb[	/ṯ-b/	vb G suffc. / vb G impv.	to return	
# KTU 1.67 18						
149495	bltnklm	?	?	?	?	DULAT: NOT FOUND
# KTU 1.67 19						
149496	ltlkn	?	?	?	?	DULAT: NOT FOUND
149497	lwt	?	?	?	?	DULAT: NOT FOUND
# KTU 1.67 20						
149498	wm	wm	wm	conj., morph.		
149498	wm	w+m(I)	w	conj., morph.	and	
149499	mˤnh	mˤn/+h	mʕn	n. m.	reply	
149500	aḏmr	?	?	?	?	DULAT: NOT FOUND
# KTU 1.67 21						
149501	q	?	?	?	?	
149502	ušsk	?	?	?	?	DULAT: NOT FOUND
149503	il	il(I)/	ỉl (I)	n. m.	god	
# KTU 1.67 22						
149504	u	u	ủ	conj.	or	
149505	nṯt	?	?	?	?	DULAT: NOT FOUND
149506	bl	bl(I)	bl (I)	adv. or emph. functor	no	
149506	bl	bl(II)	bl (II)	prep.	without	
149506	bl	bl(III)/	bl (III)	n. m.	blended beer	
# KTU 1.67 23						
149507	pdnx	?	?	?	?	DULAT: NOT FOUND
