id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 3.11 1						
161306	l	l(I)	l (I)	prep.	to	
161307	pn	pn(m/	pnm	n. m. pl. tant.	in front	
161308	nqmpˤ	nqmpˤ/	nqmpʕ	PN sg.	nqmpʿ	
# KTU 3.11 2						
161309	bn	bn(I)/	bn (I)	n. m. pl. cstr.	son	
161309	bn	bn(I)/	bn (I)	n. m. sg.	son	
161309	bn	bn(II)	bn (II)	prep.	between	
161309	bn	bn[	/b-n/	vb G suffc. 3 m. sg.	to understand	
161309	bn	bn[	/b-n/	vb G impv. 2	to understand	
161310	nqmd	nqmd/	nqmd	PN sg.	Niqmaddu II	
# KTU 3.11 3						
161311	mlk	mlk[/	/m-l-k/	vb G act. ptcpl. m. sg.	to reign	
161311	mlk	mlk(II)/	mlk (II)	n. m. sg.	kingdom (power and territory)	
161312	ugrt	ugrt/	ủgrt	TN sg.	Ugarit	
# KTU 3.11 4						
161313	bˤlṣdq	bˤlṣdq/	bʕlṣdq	PN sg.	Legitimate Lord / Great Justice	
# KTU 3.11 5						
161314	skn	skn(I)/	s:śkn (I)	n. m. sg.	prefect	
161314	skn	skn(I)/	s:śkn (I)	n. m. sg. cstr.	prefect	
161315	bt	bt(II)/	bt (II)	n. m. sg.	house	
161315	bt	b(t(I)/t	bt (I)	n. f. sg.	daughter	
161315	bt	bt(III)/	bt (III)	n. m. pl. cstr.	length	
# KTU 3.11 6						
161316	mlk	mlk[/	/m-l-k/	vb G act. ptcpl. m. sg.	to reign	
161316	mlk	mlk(II)/	mlk (II)	n. m. sg.	kingdom (power and territory)	
161317	ṯġr	ṯġr(II)/	ṯġr (II)	n. m. sg.	gatekeeper	
161317	ṯġr	ṯġr(I)/	ṯġr (I)	n. m. sg.	gate	
# KTU 3.11 7						
161318	mlk	mlk[/	/m-l-k/	vb G act. ptcpl. m. sg.	to reign	
161318	mlk	mlk(II)/	mlk (II)	n. m. sg.	kingdom (power and territory)	
161319	bny	bn(I)/+y	bn (I)	n. m. cstr.	son	
161319	bny	bny[/	/b-n-y/	vb G act. ptcpl. m. sg.	to build	
161319	bny	bny/	bny	n. m. sg.	architect	
# KTU 3.11 8						
161320	w	w	w	conj.	and	
161321	lb	lb/	lb	n. m. sg.	heart	
161322	mlk	mlk[/	/m-l-k/	vb G act. ptcpl. m. sg.	to reign	
161322	mlk	mlk(II)/	mlk (II)	n. m. sg.	kingdom (power and territory)	
# KTU 3.11 9						
161323	ymlu	!y!ml(ʔ[&u	/m-l-ʔ/	vb G prefc. 3 m. sg.	to be full	
161323	ymlu	!y!ml(ʔ[&u:d	/m-l-ʔ/	vb D prefc. 3 m. sg.	to be full	
161324	b	b	b	prep.	in	
161325	šmḫt	šmḫ(t/t	šmḫt	n. f. sg.	joy	
# KTU 3.11 10						
161326		?	?	?	?	
# KTU 3.11 11						
161327		?	?	?	?	
# KTU 3.11 12						
161328		?	?	?	?	
# KTU 3.11 13						
161329	ṯr	ṯr(I)/	ṯr (I)	n. m. pl.	bull	
161329	ṯr	ṯr(I)/	ṯr (I)	n. m. sg.	bull	
# KTU 3.11 14						
161330		?	?	?	?	
# KTU 3.11 15						
161331		?	?	?	?	
# KTU 3.11 16						
161332		?	?	?	?	
