id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.56 1						
158557	l	l(I)	l (I)	prep.	to	
158557	l	l(III)	l (III)	functor	certainly	
158558	adty	adt/+y	ảdt	n. f.	lady	
# KTU 2.56 2						
158559	rgm	rgm[	/r-g-m/	vb G	to say	
158559	rgm	rgm/	rgm	n. m.	word	
# KTU 2.56 3						
158560	rtm	rt/+m(I)	rt	PN	rt	
158560	rtm	rt/+m(II)	rt	PN	rt	
# KTU 2.56 4						
158561	hnny	hnny	hnny	adv.	here	
# KTU 2.56 5						
158562	ˤmny	ˤm(I)+ny	ʕm (I)	prep.	to	
158562	ˤmny	ˤm(I)+y	ʕm (I)	prep.	to	
158563	kll	kll/	kll	n. m.	totality	
158564	mid	mi/	mỉ/ủd	n. m.	abundance	
158565	šlm	šlm(I)/	šlm (I)	n. m.	peace	
158565	šlm	šlm[	/š-l-m/	vb G/D	to be well	
158565	šlm	šlm(III)/	šlm (III)	adj. m.	pure	
# KTU 2.56 6						
158566	ṯmny	ṯm	ṯm	adv.	there	
158567	ˤmk	ˤm(II)/+k	ʕm (II)	n. m.	lineage	
158568	mnm	mnm	mnm	indef. pn.	any(thing)	
158569	šlm	šlm(I)/	šlm (I)	n. m.	peace	
158569	šlm	šlm[	/š-l-m/	vb G/D	to be well	
158569	šlm	šlm(III)/	šlm (III)	adj. m.	pure	
