id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.105 1						
160566	tḥm	tḥm/	tḥm	n. m. sg.	message	
160567	aġltṯb	aġltṯb/	ảġltṯb	PN	ảġltṯb	
# KTU 2.105 2						
160568	l	l(I)	l (I)	prep.	to	
160568	l	l(III)	l (III)	functor	certainly	
160569	xxxyn	?	?	?	?	DULAT: NOT FOUND
160570	iḫy	aḫ(I)/	ảḫ (I)	n. m. sg.	brother (by blood)	
160571	rgm	rgm[	/r-g-m/	vb G suffc. / vb G impv.	to say	
160571	rgm	!!rgm[/	/r-g-m/	vb G inf.	to say	
160571	rgm	rgm[/	/r-g-m/	vb G pass. ptcpl.	to say	
160571	rgm	rgm/	rgm	n. m. sg.	word	
# KTU 2.105 3						
160572	yšlm	!y!šlm[	/š-l-m/	vb G prefc.	to be well	
160573	lk	l(I)+k	l (I)	prep.	to	
# KTU 2.105 4						
160574	ilm	il(I)/m	ỉl (I)	n. m. pl.	god	
160575	tġrk	nġr[k	/n-ġ-r/	vb G suffc.	to protect	
# KTU 2.105 5						
160576	tšlmk	!t!šlm[k:d	/š-l-m/	vb D suffc.	to be well	
