id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.139 1						
174316	ṣˤ	ṣˤ(I)/	ṣʕ (I)	n. m. sg. cstr. nom.	plate / wide bowl / platter	
# KTU 1.139 2						
174317		?	?	?	?	
174318	ilib	ilib(I)/	ỉlỉb (I)	DN sg. cstr. gen.	father god	
# KTU 1.139 3						
174319		?	?	?	?	
174320	šlmm	šlm(II)/~m	šlm (II)	n. m. sg. abs. gen.	communion victim / sacrifice	
174320	šlmm	šlm(II)/~m	šlm (II)	n. m. pl. abs. gen.	communion victim / sacrifice	
# KTU 1.139 4						
174321	x	?	?	?	?	
174322	w	w	w	conj.	and	
174323	ṯn	ṯn(II)/	ṯn (II)	num./adj. sg.	second	
174323	ṯn	ṯn(III)/	ṯn (III)	n. m. sg. abs. nom.	crimson (cloth, wool, purple)	
174323	ṯn	ṯn(I)/	ṯn (I)	num.	two	
174324	šm	š/m	š	n. m. pl. abs. nom.	ram	
174324	šm	šm(I)/	šm (I)	n. m. sg. abs. nom.	name	
# KTU 1.139 5						
174325	w	w	w	conj.	and	
174326	š	š/	š	n. m. sg. cstr. nom.	ram	
# KTU 1.139 6						
174327		?	?	?	?	
174328	il	il(I)/	ỉl (I)	DN m. sg. cstr. gen.	ʾIlu/Ilu/El	
174328	il	il(I)/	ỉl (I)	n. m. sg. cstr. gen.	god	
174329	tˤḏr	tˤḏr/	tʕḏr	n. m. sg. cstr. gen.	help	
174330	bˤl	bˤl(II)/	bʕl (II)	DN pl. cstr. gen.	Baʿlu/Baal	
174330	bˤl	bˤl(II)/	bʕl (II)	DN sg. cstr. gen.	Baʿlu/Baal	
174331	š	š/	š	n. m. sg. cstr. gen.	ram	
# KTU 1.139 7						
174332		?	?	?	?	
# KTU 1.139 8						
174333		?	?	?	?	
174334	ugrt	ugrt/	ủgrt	TN sg. cstr. gen.	Ugarit	
174335	š	š/	š	n. m. sg. cstr. gen.	ram	
# KTU 1.139 9						
174336	gdlt	gdlt(I)/	gdlt (I)	n. f. pl. cstr. gen.	head of cattle	
174336	gdlt	gdlt(I)/	gdlt (I)	n. f. sg. cstr. gen.	head of cattle	
174336	gdlt	gdl(t(II)/t	gdlt (II)	n. f. sg. cstr. gen.	power	
# KTU 1.139 10						
174337		?	?	?	?	
174338	ġlmt	ġlm(t(I)/t	ġlmt (I)	n. f. sg. abs. gen.	2) “the Damsel” b) of unc. attribution	
174339	ṯn	ṯn(I)/	ṯn (I)	num.	two	
# KTU 1.139 11						
174340	mm	m/m	mh/y	n. m. pl. abs. nom.	water	
174340	mm	mm(I)/	mm (I)	n. m. sg. abs. nom.	winter	
174341	l	l(I)	l (I)	prep.	to	
174342	syxx	?	?	?	?	DULAT: NOT FOUND
# KTU 1.139 12						
174343	n	~n	-n (I)	encl. morph.		
174343	n		-n (IV)	vb	him/her/it	
174344	w	w	w	conj.	and	
174345	prs	prs/	prś/s	n. m. sg. abs. nom.	dry measure	
174345	prs	prs(I)/	prs (I)	n. m. sg. abs. nom.	pole	
# KTU 1.139 13						
174346	k	+k	-k (I)			
174346	k	~k	-k (II)			
174346	k	k(III)	k (III)	Subordinating or completive functor	when	
174346	k	k(I)	k (I)	prep.	like	
174346	k	k(II)	k (II)	emph. functor	yes	
174347	yšt	!y!št[	/š-t/	vb G prefc. 3 m. sg.	to place, set, set up, leave	
174347	yšt	!y!št[:pass	/š-t/	vb Gpass prefc. 3 m. sg.	to cause, leave (in a condition)	
# KTU 1.139 14						
174348		?	?	?	?	
174349	pdry	pdry/	pdry	DN sg. cstr. nom.	Pidray	
174350	bt	b(t(I)/t	bt (I)	n. f. sg. cstr. gen.	daughter	
174351	mlk	mlk(I)/	mlk (I)	n. m. sg. abs. gen.	king	
# KTU 1.139 15						
174352		?	?	?	?	
174353	dbḥ	dbḥ/	dbḥ	n. m. sg. cstr. nom.	sacrifice	
174353	dbḥ	dbḥ/	dbḥ	n. m. sg. abs. nom.	sacrifice	
174353	dbḥ	dbḥ[	/d-b-ḥ/	vb G suffc. 3 m. sg.	to sacrifice	
174353	dbḥ	dbḥ[	/d-b-ḥ/	vb G impv. 2	to sacrifice	
174353	dbḥ	dbḥ[/	/d-b-ḥ/	vb G act. ptcpl. m. sg. abs. nom.	to sacrifice	
174354	pdry	pdry/	pdry	DN sg. abs. nom.	Pidray	
# KTU 1.139 16						
174355		?	?	?	?	
174356	alp	alp(I)/	ảlp (I)	n. m. sg. cstr. nom.	(head of) cattle	
174356	alp	alp(I)/	ảlp (I)	n. m. sg. abs. nom.	(head of) cattle	
174356	alp	alp(II)/	ảlp (II)	num.	(one, a) thousand	
174357	w	w	w	conj.	and	
174358	š	š/	š	n. m. sg. abs. nom.	ram	
# KTU 1.139 17						
174359	b	b	b	prep.	in	
174360	ilm	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	god	
# KTU 1.139 18						
174361	xm	?	?	?	?	DULAT: NOT FOUND
174362	ksp	ksp/	ksp	n. m. sg. abs. nom.	3) money	
# KTU 1.139 19						
174363	d	d	d	det. or rel. functor	the one(s) of	
174364	w	w	w	conj.	and	
174365	yx	?	?	?	?	DULAT: NOT FOUND
